unique_id,ds,AutoTheta,AutoTheta-lo-80,AutoTheta-hi-80,AutoTheta-lo-95,AutoTheta-hi-95
sp500,2024-01-01,4774.1253155874,4721.162915286389,4838.42189693063,4703.641340377777,4858.070303288236
sp500,2024-01-02,4773.566120534648,4696.273008257349,4850.430513076643,4657.726919512691,4883.473783711296
sp500,2024-01-03,4773.044946570049,4671.823360087605,4867.818100592201,4624.7403502826555,4904.508492478346
sp500,2024-01-04,4781.117992657587,4676.306752091076,4863.796358804327,4628.879420430065,4937.487444054301
sp500,2024-01-05,4776.734404543535,4661.953322574857,4891.5862805264405,4594.703482321399,4950.321524040881
sp500,2024-01-08,4780.164678447134,4652.276529514212,4910.963697948667,4593.407007083094,4963.326727751783
sp500,2024-01-09,4779.603248584335,4639.036279505624,4914.348049656209,4556.300198523603,4954.79805879024
sp500,2024-01-10,4779.079889013053,4622.714141154233,4936.893189966595,4550.457727765344,4997.633591069236
sp500,2024-01-11,4787.161614211576,4617.446543269978,4949.0151309164075,4554.163510720626,5015.483573969711
sp500,2024-01-12,4782.770958863956,4607.124650046048,4939.771878640224,4543.766248490259,5015.020841565373
