Модель,Класс,MAE,RMSE,MASE
Naive,Baseline,81.2831,103.3909,3.1716
SeasonalNaive,Baseline,128.0678,149.2224,4.997
AutoARIMA,Статистический,81.8742,104.8013,3.1946
AutoETS,Статистический,81.6794,104.3867,3.187
AutoTheta,Статистический,81.356,104.3064,3.1744
DynamicOptimizedTheta,Статистический,83.6483,105.9345,3.2638
LightGBM,ML,56.0508,69.4537,2.2986
Ridge,ML,51.517,62.789,2.1127
XGBoost,ML,63.1835,76.1641,2.5911
NHITS,DL,65.4771,79.8071,3.362
NBEATS,DL,63.9152,86.8309,3.2818
LSTM,DL,63.1627,72.7359,3.2432
